1,nerd,,$328.3K,$1.4B,57066
2,nmstarchild,https://x.com/,$340.7K,$580.9M,13538
3,an0n,https://x.com/,$25.9M,$1.4B,68430
4,DeFiWhale,,$56.7M,$971.9M,38122
5,Ethereum,https://x.com/bizyugo,$32.3M,$1.3B,76972
6,alexfilippov,https://x.com/Alex_Luxiano,$246.9K,$257.3M,6271
7,Poet,https://x.com/,$14.1K,$198.6M,4747
8,33EE,,$36M,$954.2M,33715
9,VietnamPenguin,https://x.com/VietnamPenguin,$32.9K,$485.8M,12269
10,sisu,,$21.1K,$481.9M,5995
11,MoneyPrinter1,,$64.7M,$1B,34901
12,just_a_guy,,$18.1M,$1.3B,43516
13,Octoshi,https://x.com/0ctoshi,$4.1M,$1.2B,23664
14,Enerow,https://x.com/,$868.6K,$974.1M,54832
15,lilwassie,https://x.com/,$114.5K,$862.6M,22737
16,0xSupernova,,$12.1K,$412.5M,15119
17,TradFiWhale,https://x.com/tardfiwhale,$12.8M,$1.3B,47874
18,Powerstake,https://x.com/,$28.9M,$753.6M,20658
19,4What,https://x.com/4_What4,$15.1M,$1B,30676
20,defiexplore,https://x.com/bitlandlord,$18.8K,$356.2M,4341
21,cryptojazz,,$16.4M,$785.7M,17440
22,Pandario,https://x.com/Pandario_ETH,$465.7K,$653.5M,16749
23,LongtermIhodl,https://x.com/,$10.9K,$122.5M,5164
24,Gekko,https://x.com/gekko_eth,$1.1M,$900.8M,46762
25,x777,https://x.com/,$26K,$720.5M,45188
26,VY100,https://x.com/,$1.4M,$1.2B,25512
27,cucbku,https://x.com/cucbku3,$33.8M,$564.3M,7084
28,Humpy_is_GOLD,,$49M,$676.2M,9578
29,popo,https://x.com/golfpopos,$45.3K,$320.4M,12608
30,0xbbbc,https://x.com/0xLiquidityLord,$9.8M,$1.2B,28149
31,MrBang,https://x.com/_MrBang_,$36.7K,$677.1M,20170
32,0xDavide,https://x.com/,$50.7K,$34.6M,1555
33,1f07,,$4.6M,$720.2M,20306
34,CryptoFortochka,https://x.com/Keeperssd,"$9,506",$663.3M,34397
35,cp0x_1,,$2.6M,$851.8M,21898
36,IntelGroup,https://x.com/,$11.5M,$697.1M,20154
37,invictus369,https://x.com/,$1.9M,$711.9M,21021
38,alex,https://x.com/,$217.5K,$760.2M,13668
39,birol61,https://x.com/,$15.8K,$235.5M,6164
40,ShahG,https://x.com/,"$6,818",$42.5M,3051
41,decacepa,https://x.com/,$30.3K,$136.9M,2579
42,purplezky,https://x.com/Purplezky,"$7,569",$702.8M,13557
43,Jochanan,https://x.com/J0chanan,$62.5K,$279.6M,7545
44,Vladilena,https://x.com/0xvladilena,$20.9M,$621.5M,16751
45,satoshiboss,https://x.com/,$28.6K,$51.7M,3720
46,kirby,https://x.com/kirbyongeo,$1.9M,$692.2M,11707
47,TrustlessYield,https://x.com/trustlessyield,$1.4M,$1B,20556
48,nelsonmandela,https://x.com/,$1.7M,$664.9M,17498
49,DeFiGod,https://x.com/,$178.8K,$732.6M,16644
50,Transhumanist,https://x.com/,$4M,$801.4M,33669

